Brand,Description,UPC,"Cases 
On Hand","Items
 Case/Unit",Size,Amount Taken,Date Taken,Our Cost
Aahu Barah,Basmati Rice,88247502037,23,4,10 LB,,,
Abu Kass,Mazza Basmati Rice,6281100412137,1,4,10 LB,,,
Ahmad Tea London,Special Blend Loose Tea,54881209571,1,12,500 g,,,
Al Afia,Extra Long Super Basmati Sela Rice,896600002809,79,1,10 LB,,,
Al Afia,Extra Long Super Basmati Sela Rice,896600002908,81,1,40 LB,,,
Al Afia,Grape Leaves,74265005476,63,12,2 LB,,,
Al Doha,Egyptian Rice,6223000660027,5,4,5 KG,,,
Al Hor,Chinese Green Tea,703669331576,1,24,500 g,,,
AlDayaa,Mixed Pickles,35287000016200,1,12,660 g,,,
AlGhazal,Pure Vegetable Ghee,6251080051039,2,1,15 KG,,,
AlGhazal,Pure Vegetabel Ghee,6251080000136,1,12,1 L,,,
AlGhazal,Pure Vegetable Ghee,6251080000211,2,8,1.7 KG,,,
AlKanater,Tahini,15285000870149,4,12,1 LB,,,
AlKanater,Halawa Plain,692551000044,1,24,454 g,,,
AlKhityar,Pickled Cucumbers,6253809450239,1,12,700 g,,,
AlKhityar,Green Olives,6253809450017,2,12,24.69 oz,,,
AlReef,Chocolate Covered Candy,10810001319677,4,6,500 g,,,
AlReef,Dry Black Lemon,,1,1,22 LB,,,
AlReef ,Extra Virgin Olive Oil,10810001315266,17,4,3 L,,,
AlReef ,Avocado Oil Blend,40232243271,0,12,1 L,,,
AlReef ,Iraqi Pickles,10810001312593,1,12,900 g,,,
AlReef ,Najaf Pickles in Vinegar,10810001312593,1,12,1000 g,,,
AlReef ,Alnajaf Molasses Pickle,10810001310971,1,12,1000 g,,,
AlReef ,Pickled Wild Cucumbers,10810001311015,0,12,1000 g,,,
AlReef ,Stuffed Pickled Cucumbers,10810001310995,0,12,1000 g,,,
AlReef ,Mixed Fresh Pickles,810001315252,1,12,900 g,,,
AlReef ,Cucumber Pickles,10810001310988,1,12,900 g,,,
AlReef ,Stuffed Iraqi Taroz Wild Cucumber Pickle,10810001311008,1,12,1000 g,,,
AlReef ,Stuffed Green Olives Mix (Bulk),850051813155,1,1,37.5 LB,,,
AlReef ,Green Olives Halabi,850051813162,1,12,900 g,,,
Alsa,Strawberry Flan,6191402804632,1,64,50 g,,,
AlWalimah,Indian Mazza Basmati Rice,6281100203964,1,4,10 LB,,,
AlWardah,Cardamom Tea,850051813933,4,8,900 g,,,
Amgalita,Medium Vermicelli,6111069015264,2,12,500 g,,,
An'aam,Boiled Nabulsi Cheese,6253807320107,7,1,2 KG,,,
Asli,Haleem Wheat,703440115630,1,20,2 LB,,,
Asli,White Corn Flour,703440133429,2,20,2 LB,,,
Asli,Barley Grits,703440144234,1,20,2 LB,,,
Asli,Corn Grits (Pieces),703440142629,2,20,2 LB,,,
Asli,Whole White Corn,703440133559,1,20,2 LB,,,
Asli,Red Chori (Cowpeas),703440142025,4,20,2 LB,,,
Asli,Adzuki Beans (Abuulo),703440142728,0,20,2 LB,,,
Asli,Black Eye Beans,703440141028,0,20,2 LB,,,
Asli,Yellow Corn Meal,703440133368,1,20,2 LB,,,
Asli,Yellow Corn Flour,703440133320,1,20,2 LB,,,
Asli,Desi Chori (Cowpeas),703440142063,1,20,2 LB,,,
Asli,Adzuki Beans (Abuulo),703440142711,1,10,4 LB,,,
Asli,White Corn Meal (Ugali Flour),703440133528,1,20,2 LB,,,
Asli,Pot Barley ,703440125745,1,20,2 LB,,,
Asli,Haleem Wheat,703440115630,1,20,2 LB,,,
Asli,Premium Raw Peanuts,703440181048,1,8,4 LB,,,
Baraka,Extra Virgin Olive Oil,822514223993,139,4,2850 ml,,,
Baraka,Grilled Eggplant,822514262336,36,6,2835 g,,,
Baraka,Chickpeas Dry,822514273660,0,12,908 g,,,
Baraka,Large Fava Bajella,822514274339,0,12,700 g,,,
Baraka,Large Lima Beans,822514273868,3,12,820 g,,,
Baraka,White Kidney Beans,822514274087,3,12,850 g,,,
Baraka,Durum Wheat,822514226437,5,12,2 LB,,,
Baraka,Quick Marinade Beef Kabab,822514350965,2,10,6 oz,,,
Baraka,Chicken Flavored Stock Powder,822514325000,2,6,1 KG,,,
Baraka,Beef Flavored Stock Powder,822514325109,2,6,1 KG,,,
Baraka,Vegetable Flavored Stock Powder,822514325208,2,6,1 KG,,,
Baraka,Cucumber Pickles,822514276937,1,12,1000 g,,,
Baraka ,Pickled Onion,822514274834,1,6,950 g,,,
Barbican,Pomegranate,10074265000317,6,4X6,330 ml,,,
Barbican,Malt,10074265000331,5,4X6,330 ml,,,
Barbican,Pineapple,10074265000324,9,4X6,330 ml,,,
Barbican,Apple,10074265000362,11,4X6,330 ml,,,
Best Choice,Water,70038613114,140,24,16.9 oz,,,
California Garden,Fava Beans,32894031914,5,24 cans,450 g,,,
California Garden,Fava Beans Mashed Plain,32894011152,1,24 cans,450 g,,,
California Garden,Fava Beans w/Chili,882149040402,0,24 cans,450 g,,,
California Garden,Fava Beans Palestinian Recipe,882149040464,4,24 cans,450 g,,,
California Garden,Fava Beans Yamani Recipe,32894021441,0,24 cans,450 g,,,
California Garden,Peeled Fava Beans Secret Recipe,882149040495,4,24 cans,450 g,,,
California Garden,Peeled Fava Beans Egyptian Recipe,32894016744,24,24 cans,450 g,,,
California Garden,Peeled Fava Beans w/Chili,882149040501,13,24 cans,450 g,,,
California Garden,Fava Beans Lebanese Recipe,882149040457,0,24 cans,450 g,,,
California Garden,Fava Beans Khaligia Recipe,32894021472,1,24 cans,450 g,,,
California Garden,Peeled Fava Beans Saudi Recipe,32894016751,5,24 cans,450 g,,,
California Garden,Fava Beans w/Tahini,882149040488,1,24 cans,450 g,,,
California Garden,Red Kidney Beans,882149040525,9,24 cans,400 g,,,
California Garden,White Beans,882149061155,7,24 cans,400 g,,,
California Garden,Fava Beans w/Cumin,882149040419,1,24 cans,400 g,,,
California Garden,Whole Kernel Sweet Corn,32894033031,2,24 cans,400 g,,,
