item_code,item_name,brand,sku,invoice_alias,upc_barcode,size,items_per_case,cases_on_hand,standard_price,buying_price,price_status
GEN-0084,Jameed Liquid,,,,0000000054545,12x1kg,,,,,NO PRICE
COND-0011,Mango Pulp,,,,0081007098303,850 g,6 cans,,,,NO PRICE
SPICE-0025,Sazon Goya,,041331037761,,0004133103776,180 g,15,,,,NO PRICE
BEAN-0042,Split Fava Beans,,,,6222001002973,10 LB,1,1.0,,,NO PRICE
GRAIN-0004,Al Afia Extra Long Super Basmati Sela Rice 40 LB,Al Afia,,,896600002908,40 LB,1,97.0,,,NO PRICE
GRAIN-0005,Al Doha Egyptian Rice,Al Doha,,,6223000660027,5 KG,4,6.0,,,NO PRICE
OIL-0002,AlGhazal Pure Vegetabel Ghee,AlGhazal,,,6251080000136,1 L,12,1.0,,,NO PRICE
OIL-0003,AlGhazal Pure Vegetable Ghee 1.7 KG,AlGhazal,,,6251080000211,1.7 KG,8,3.0,,,NO PRICE
OIL-0001,AlGhazal Pure Vegetable Ghee 15 KG,AlGhazal,,,6251080051039,15 KG,1,3.0,,,NO PRICE
SPICE-0001,AlKanater Tahini,AlKanater,,,0069255100002,1 LB,12,5.0,,,NO PRICE
PICKLE-0003,AlKhityar Green Olives,AlKhityar,,,0625380945001,24.69 oz,12,2.0,,,NO PRICE
SPICE-0003,AlReef Dry Black Lemon,AlReef,,,0020600300000,22 LB,1,,,,NO PRICE
PICKLE-0013,AlReef Stuffed Green Olives Mix (Bulk),AlReef,,,850051813155,37.5 LB,1,1.0,,,NO PRICE
SNACK-0001,Alsa Strawberry Flan,Alsa,,,6191402804632,50 g,64,1.0,,,NO PRICE
OIL-0005,An'aam Boiled Nabulsi Cheese,An'aam,,,6253807320107,2 KG,1,8.0,,,NO PRICE
,Asli Haleem Wheat 2 LB,Asli,,,0070344011563,2 LB,20,,,,NO PRICE
SPICE-0006,Baraka Beef Flavored Stock Powder,Baraka,,,822514325109,1 KG,6,2.0,,,NO PRICE
BEV-0009,Best Choice Water,Best Choice,,,0020400500000,16.9 oz,24,246.0,0.99,,ROUGH ESTIMATE
SPICE-0008,Canary Chicken Flavored Stock,Canary,,,18436000236528,1 KG,12,3.0,,,NO PRICE
NUT-0002,Castania Black Sunflower Seeds,Castania,,,10074265020544,350 g,10,3.0,,,NO PRICE
NUT-0001,Castania Small Seeds,Castania,,,10074265017001,350 g,10,2.0,,,NO PRICE
SNACK-0004,Chips Oman Chili Flavor,Chips Oman,,,9501100018595,100 g,6,7.0,,,NO PRICE
SNACK-0003,Chips Oman Chili Flavor (Family Size),Chips Oman,,,9501100019639,13 g,1,3.0,,,NO PRICE
SNACK-0002,Chips Oman Sohar Chili Flavor,Chips Oman,,,9501100019769,150 g,10,3.0,,,NO PRICE
SPICE-0009,Collective Aromas Co. Orange Emulsion,Collective Aromas Co.,,,682863057171,1 GAL,1,1.0,,,NO PRICE
COND-0006,Creamery Ave Caramel Topping,Creamery Ave,,,400015199094,5.5 LB,1,3.0,,,NO PRICE
BEV-0010,Do Ghazal Premium Instant Hot Chocolate Packets,Do Ghazal,,,47960627554096,300 g,1,1.0,,,NO PRICE
BEAN-0032,Durra Lentil Soup Packets,Durra,,,6251136051204,70 g,1,1.75,,,NO PRICE
BEV-0011,Freez Mix Apple & Grape,Freez Mix,,,762571312080,275 ml,1,4.0,,,NO PRICE
BEV-0013,Freez Mix Berry,Freez Mix,,,0076257131203,275 ml,1,1.0,,,NO PRICE
BEV-0012,Freez Mix Blue Hawai,Freez Mix,,,762571312158,275 ml,1,5.0,,,NO PRICE
SPICE-0010,Freez Mix Lemon & Mint,Freez Mix,,,762571312103,275 ml,1,4.0,,,NO PRICE
BEV-0014,Freez Mix Lychee,Freez Mix,,,762571312219,275 ml,1,3.0,,,NO PRICE
BEAN-0034,Golden Premium Dry Chickpeas,Golden,,,19175062003,50 LB,1,6.0,,,NO PRICE
COND-0007,Golden Barrel Sugar Free Pancake/Waffle Syrup,Golden Barrel,,,77391128002,1 GAL,1,3.0,,,NO PRICE
PICKLE-0036,Golden Harvest Lombardi Hot Peppers,Golden Harvest,,,19175057412,720 ml,12,1.0,,,NO PRICE
SPICE-0016,Habash Biryani Spices (Bulk),Habash,,,18227513395,25 LB,1,1.0,,,NO PRICE
SPICE-0012,Habash Chicken Shawarma Spices (Bulk),Habash,,,0020500800000,22 LB,1,,,,NO PRICE
SPICE-0017,Habash Kabseh Spice,Habash,,,18227513692,25 LB,1,1.0,,,NO PRICE
GEN-0018,Habash Kufta,Habash,,,0001822751394,7 oz,1,2.0,,,NO PRICE
COND-0008,Habash Shatta Hot Sauce,Habash,,,6731439455393,1000 g,12,7.0,,,NO PRICE
SPICE-0011,Habash Shawarma Beef Spices (Bulk),Habash,,,,22 LB,1,,,,NO PRICE
GEN-0025,Habash Sumac,Habash,,,0000000070007,5 KG,4,,,,NO PRICE
GEN-0024,Habash Whole Black Pepper 25 LB,Habash,,,18227513821,25 LB,1,,,,NO PRICE
GEN-0026,Halwani Bros Maamoul w/Dates,Halwani Bros,,,10074265014048,480 g,1,10.0,0.99,,ROUGH ESTIMATE
BEV-0016,Hello Mochi Dubai Style Chocolate Flavor Mochi,Hello Mochi,,,850075808519,150g,12,1.0,,,NO PRICE
DAIRY-0001,Hello Mochi Starwberry Cheesecake Flavor Mochi,Hello Mochi,,,850075808496,150 g,12,1.0,,,NO PRICE
GEN-0029,Indomie Instant Noodles Vegetable Flavor (Green),Indomie,,,8994963002008,375 g,6,14.0,,,NO PRICE
GEN-0034,Josh Bosh Fruit Jellies Juicy Chew (Panda Shape),Josh Bosh,,,850083598020,800 g,1,1.0,,,NO PRICE
GEN-0037,Knorr Chicken Flavor Bouillon (Bulk),Knorr,,,48001016460,25 LB,1,3.0,,,NO PRICE
