item_code,item_name,items_per_case,current_price,cost,ratio,proposed_price,price_row_name
BEAUT-0002,Mim Hair Removal 192pcs,192,1.15,192.0,166.96,220.8,94jcl43efs
GEN-0095,JANNATY SABAH XL CARDAMOM,144,0.29,36.0,124.14,41.76,746a01ssb8
SPICE-0066,Maggi halal chicken flavored bouillon 24/24/,24,0.05,4.31,86.17,1.2,4ovg97ku3r
HOUSE-0006,Red Kitchen Skewer SK01 Tikka,96,1.8,150.0,83.33,172.8,l3lrnf5edd
HOUSE-0007,Red Kitchen Skewer W/H SK03 Kab,96,1.8,150.0,83.33,172.8,l7jldamuc0
NUTSE-0017,Al_Samir Super Seeds Extra 300gr,70,3.45,210.0,60.87,241.5,iesot5lou9
NUTSE-0015,Al Samir Red Melon Seeds 300gr,60,4.02,210.0,52.24,241.2,d1ct9ae7cu
DAINO-0001,Jannat Cream,48,0.75,36.0,48.0,36.0,qvmfqibrhi
NUTSE-0014,Al_Samir Pumpkin Seed Yellow 300gr,50,3.45,150.0,43.48,172.5,c7eo3ats4s
NUTSE-0016,Al_Samir Lady Pumkin Nails Seed 300gr,50,3.45,150.0,43.48,172.5,dt6av5n20v
CHIPS-0011,Mr. Chips Snack Mix Flaming Hot 48g,48,0.86,36.0,41.86,41.28,7qepal1ft2
CHIPS-0022,Mr. Chips snack mix cheese 40g,48,0.86,36.0,41.86,41.28,i4tad52ibn
SAUPA-0017,Kasha Hummus,48,1.08,45.0,41.67,51.84,060i7q4rll
CHIPS-0006,SALAD CHIPS 15g,48,0.41,17.0,41.46,19.68,0jk5m4ng9g
NUTSE-0013,Alreef Extra Super Melon Seeds 300gr,40,2.88,100.0,34.72,115.2,b68723v4t2
TEAHE-0004,Tea Royal Regime 100gr 50Bags,36,3.16,99.0,31.33,113.76,h31dma839r
GEN-0093,Shawarma Meat 1lb,30,12.65,330.0,26.09,379.5,mmpq55s883
BEVER-0001,Drink Pepsi Can 250ml,30,0.83,21.6,26.02,24.9,ov3q2t1c2s
BEVER-0005,AL MARAI MANGO JUICE,27,0.68,16.0,23.53,18.36,ldd5d9ubtv
JUICE-0008,AL MARAI PINEAPPLE,27,0.68,16.0,23.53,18.36,829u156fgp
JUICE-0009,AL MARAI JUAVA,27,0.68,16.0,23.53,18.36,8cpna50o8i
BEVER-0004,AL MARAI CHOCOLATE MILK,27,0.64,15.0,23.44,17.28,l5abrfvjmm
BEVER-0006,AL MARAI BANANNA MILK,27,0.64,15.0,23.44,17.28,lp1rvhlrtr
JUICE-0006,Alreef Juice Can Orange 240ml,24,0.57,12.0,21.05,13.68,ldll59uv82
JUICE-0007,Alreef Juice Can Mango 240ml,24,0.57,12.0,21.05,13.68,oqtab2g6dt
BEVER-0009,V7 STRAWBERRY LEMON,24,0.86,18.0,20.93,20.64,oebs3enev8
BEVER-0010,V COLA,24,0.86,18.0,20.93,20.64,oqr48eeqqo
JUICE-0004,Jannat Guava Nectar,24,0.55,11.5,20.91,13.2,qqbbtcgtba
SAUPA-0009,Alreef Garlic Sauce 400gr,24,4.02,84.0,20.9,96.48,15fjrsnlfv
SYRRO-0004,Alreef Sugar Free Syrup 625gr,24,4.02,84.0,20.9,96.48,q8qkrhone7
CHOCA-0006,Gum Wan Natural Big Cans 250gr,24,14.37,300.0,20.88,344.88,ijfb5ftk49
CHOCA-0007,Ruya Sandwich Shape Mix Flavor 24PCs/Box,24,4.31,90.0,20.88,103.44,qhkjb50k2g
SAUPA-0008,Alreef Pomegranate Molasses Plast 600gr,24,4.31,90.0,20.88,103.44,tqav1qi7nc
HOUSE-0003,bbq grill oval large 0551,24,17.25,360.0,20.87,414.0,kobrp1s42u
SAUPA-0006,Iraqi Mango Sauce Mild 400gr,24,3.45,72.0,20.87,82.8,sc6vossvl9
SAUPA-0007,Iraqi Sauce Mango Hot 400gr,24,3.45,72.0,20.87,82.8,smrp02fqn3
SAUPA-0010,Alreef Sauce Hot Plastic 450gr,24,3.45,72.0,20.87,82.8,1aqagm44l3
SPICE-7512,spices mixxxxxx,24,4.6,96.0,20.87,110.4,k8rek6v3ad
SYRRO-0005,DURRA POMEGRANTE SAUCE,24,2.3,48.0,20.87,55.2,pk657rupm6
TEAHE-0001,Tea Wardah Bags W/Cardamom 240gr 120/Box,24,3.68,76.8,20.87,88.32,2f2rbq3gfp
TEAHE-0003,Alreef Iraqi Sauce 550gr,24,3.45,72.0,20.87,82.8,aed0odsguj
BEVER-0013,CODE RED ENERGY DRINK,24,0.96,20.0,20.83,23.04,sab2b322au
COFFE-0004,BONJOR COFFEE MIX,24,2.88,60.0,20.83,69.12,14fpri9r1s
BEVER-0012,BOMBOM ENERGY DRINK CANS,24,0.77,16.0,20.78,18.48,s06oeckis2
BEVE-0019,Jannat Mango Fruit Nectar 250 ml,24,0.65,11.5,17.69,15.6,0c4c282d0k
CHIPS-0008,Mr.Chips salt,20,1.49,26.0,17.45,29.8,4ics5vhh71
CHIPS-0009,Mr.Chips Salt&Vinegar,20,1.49,26.0,17.45,29.8,4sp5g37st7
CHIPS-0010,MR. Chips Snack mix Flaming Hot,20,1.49,26.0,17.45,29.8,5nqf4eh8vs
CHIPS-0012,Mr. Chips snack mix paprika ,20,1.49,26.0,17.45,29.8,9eaach28mj
CHIPS-0013,Mr. Chips snack mix cheese,20,1.49,26.0,17.45,29.8,a1v92qflbf
CHIPS-0014,MR CHIPS POP CORN,20,1.49,26.0,17.45,29.8,ad1ude9j7u
CHIPS-0021,Mr.Chips paprika,20,1.49,26.0,17.45,29.8,hmumei8bn7
CHIPS-0015,Rich Tarweezah Zaatar,20,2.07,36.0,17.39,41.4,cdha79645c
CHIPS-0017,SNACK MIX PAPRIKA,20,1.84,32.0,17.39,36.8,ed6ohfglqm
CHIPS-0018,Snack Mix Cheese Family Bag,20,1.84,32.0,17.39,36.8,enh2j2aadd
NUTSE-0018,Cashew Roasted Jumbo 500gr,20,11.5,200.0,17.39,230.0,pcdmlng1ha
TEAHE-0006,ATTAR ANISEED,20,2.88,50.0,17.36,57.6,2m08bt1o3u
GEN-0098,JANNATY SABAH BUCKET CLASSIC,18,3.51,55.0,15.67,63.18,5ms6e15u8i
SNASW-0016,BESBITE Fruity Pudding with Nata de coco 80 gr,16,0.12,1.69,14.08,1.92,odd99o0abn
NUTSE-0011,Alreef Sunflower Seed Black Saltd 250gr,16,3.45,48.0,13.91,55.2,2t5rkpk7su
CHOCA-0008,Ruya Draje 6 Different Kinds 400gr,15,6.9,90.0,13.04,103.5,qjs3encot5
GRAIN-0032,Jannat Yellow Burgul #2,12,1.91,23.0,12.04,22.92,ej6ffc9ttn
BEAUT-0001,OLIVA SHAMPOO,12,1.72,18.0,10.47,20.64,u3cpvlh869
JUICE-0012,AL MARAI APPLE JUICE,12,1.72,18.0,10.47,20.64,adk78ic7e3
JUICE-0013,AL MARAI JUAVA 1L,12,1.72,18.0,10.47,20.64,bcin8pe8d0
JUICE-0014,AL MARAI MANGO JUICE 1L,12,1.72,18.0,10.47,20.64,blpot9c5n8
MILEG-0001,AL Marai pLAIN MILK 1L,12,1.72,18.0,10.47,20.64,b17h8slti1
